,Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
0,1,0.18,0.01,0.01,13.44,0.01,3.01,0.46,0.04,0.01,19.46,2.35,0.04,0.0,1038,1123.1,1929.2,8.0
1,2,0.16,0.01,0.01,14.26,0.01,4.93,0.46,0.03,0.01,10.55,0.0,0.04,0.0,1093,1405.6,1894.8,14.0
2,3,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0.0,0.04,0.0,1093,1529.6,2025.7,14.0
3,4,0.16,0.01,0.01,14.56,0.01,4.9,0.48,0.05,0.01,15.6,0.0,0.04,0.0,1038,,1991.2,9.0
4,5,0.16,0.01,0.01,13.56,0.01,4.7,0.4,0.04,0.01,16.2,0.0,0.04,0.0,1093,1274.7,1949.9,12.0
6,7,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,1149,1316.0,2011.9,12.0
7,8,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,1093,1322.9,2025.7,16.0
8,9,0.08,0.01,0.01,14.48,0.01,4.99,0.46,0.07,0.01,13.56,0.0,0.03,0.0,1038,1295.3,2011.9,12.0
9,10,0.12,0.01,0.01,14.4,0.01,4.99,0.41,0.03,0.01,13.45,0.0,0.05,0.0,1093,1322.9,1984.3,16.0
10,11,0.12,0.01,0.01,14.52,0.01,5.09,0.43,0.03,0.01,13.48,0.0,0.03,0.0,1093,1515.8,2101.5,6.0
11,12,0.21,0.01,0.01,14.58,0.01,5.02,0.46,0.02,0.01,13.45,0.0,0.05,0.0,1093,1529.6,2108.3,12.0
12,13,0.21,0.01,0.01,14.6,0.01,5.02,0.41,0.02,0.01,13.48,0.0,0.05,0.0,1093,1405.6,2122.1,12.0
13,14,0.15,0.01,0.01,14.48,0.01,5.06,0.46,0.15,0.01,13.49,0.0,0.05,0.0,1093,1164.4,2032.6,4.0
15,16,0.07,0.01,0.01,15.54,0.01,4.99,0.41,0.03,0.01,13.41,0.0,0.03,0.0,1093,1343.6,2060.1,14.0
17,18,0.16,0.01,0.01,14.34,0.01,5.09,0.87,0.04,0.01,13.45,0.0,0.05,0.0,1093,1550.3,2122.1,12.0
18,19,0.16,0.01,0.01,14.36,0.01,3.01,0.97,0.03,0.01,13.33,0.0,0.05,0.0,1093,1240.2,1598.5,14.0
19,20,0.15,0.01,0.01,14.36,0.01,3.04,0.41,0.03,0.01,13.64,0.0,0.03,0.0,1093,1233.3,1612.3,14.0
21,22,0.17,0.01,0.01,14.26,0.01,5.09,0.41,0.03,0.01,13.64,0.0,0.03,0.0,1093,1502.0,2094.6,11.0
22,23,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0.0,0.04,0.0,1038,1440.0,1887.9,12.0
23,24,0.15,0.01,0.01,14.36,0.01,5.09,0.41,0.03,0.01,12.23,0.0,0.04,0.0,1093,1502.0,1991.2,13.0
25,26,0.16,0.56,0.01,14.46,0.01,5.12,0.41,0.03,0.01,13.41,0.0,0.05,0.0,1093,1350.4,2039.4,12.0
27,28,0.01,0.01,0.03,7.93,10.02,0.2,0.0,0.01,0.0,8.14,2.29,0.2,0.49,900,1935.0,,8.0
28,29,0.01,0.01,0.03,7.93,10.02,0.2,0.0,0.01,0.0,8.14,2.29,0.2,0.49,900,1250.0,1460.0,9.0
29,30,0.01,0.01,0.03,7.93,10.02,0.2,0.0,0.01,0.0,8.14,2.29,0.2,0.49,900,,1865.0,10.0
30,31,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7,982,1619.2,1722.5,9.0
32,33,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7,982,1729.4,1874.1,8.0
33,34,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7,982,1281.5,1398.7,16.0
34,35,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7,982,1502.0,1660.5,10.0
35,36,0.01,0.01,0.01,0.01,15.1,5.1,0.01,0.0,0.01,9.2,0.0,0.92,0.7,982,1412.5,,
36,37,0.01,0.05,0.11,4.62,12.08,2.79,0.01,0.0,0.01,0.01,0.0,0.21,0.2,816,1167.2,1220.9,17.5
37,38,0.01,0.03,0.11,4.77,12.21,3.03,0.01,0.0,0.01,0.01,0.0,0.26,0.2,816,1216.8,1249.8,17.0
38,39,0.01,0.05,0.12,4.8,12.16,2.99,0.01,0.0,0.01,0.01,0.0,0.4,0.19,816,1272.6,1318.1,17.5
40,41,0.02,0.08,0.04,4.73,12.08,3.15,0.01,0.0,0.01,0.01,0.0,0.38,0.23,816,1243.6,1267.1,17.0
41,42,0.0,0.05,0.06,4.81,11.5,2.95,0.01,0.0,0.01,0.01,0.0,0.66,0.2,816,1451.7,1494.4,16.0
43,44,0.01,0.05,0.06,5.32,12.95,2.93,0.01,0.0,0.01,0.01,0.0,0.51,0.2,816,1404.2,1429.0,15.0
44,45,0.0,0.04,0.06,5.01,11.83,2.98,0.01,0.0,0.01,0.01,0.0,0.39,0.2,816,1324.3,1351.8,16.0
45,46,0.01,0.02,0.03,5.0,12.16,3.0,0.01,0.0,0.01,0.01,0.0,0.31,0.21,816,1309.8,1345.6,15.0
46,47,0.01,0.1,0.18,4.87,12.08,2.97,0.01,0.0,0.01,0.01,0.0,0.25,0.15,816,1230.6,1262.2,16.0
47,48,0.02,0.21,0.19,4.98,12.26,2.97,0.01,0.0,0.01,0.01,0.0,0.23,0.14,816,1194.0,1223.7,15.0
48,49,0.01,0.08,0.04,4.7,12.2,3.13,0.01,0.0,0.01,0.01,0.0,0.26,0.19,816,1212.6,1244.3,18.0
49,50,0.01,0.07,0.04,4.57,12.05,3.12,0.01,0.0,0.01,0.01,0.0,0.34,0.18,816,1254.0,1286.4,16.0
50,51,0.01,0.06,0.03,4.67,12.14,3.17,0.01,0.0,0.01,0.01,0.0,0.47,0.19,816,1390.4,,15.0
51,52,0.01,0.04,1.87,0.01,16.7,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.08,816,1233.3,1260.9,17.0
54,55,0.02,0.1,2.02,0.01,18.4,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,816,1136.9,1185.1,14.0
55,56,0.01,0.06,2.58,0.01,17.8,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.07,816,1350.4,1412.5,15.0
56,57,0.01,0.06,2.58,0.01,17.8,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.07,816,1267.8,1336.7,17.0
57,58,0.02,0.11,3.18,0.01,18.3,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,816,1460.7,1502.0,16.0
58,59,0.02,0.11,3.18,0.01,18.3,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,816,1378.0,1460.7,12.0
59,60,0.01,0.1,3.3,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.11,816,1522.7,1564.0,14.0
60,61,0.01,0.1,3.3,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.11,816,1426.2,1495.1,13.0
61,62,0.02,0.1,4.27,0.01,18.1,0.02,0.01,0.0,0.01,0.01,0.0,0.07,0.09,816,1736.3,1839.6,4.0
63,64,0.35,0.07,4.75,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,816,1495.1,1825.9,2.0
64,65,0.35,0.07,4.75,0.01,18.5,0.02,0.01,0.0,0.01,0.01,0.0,0.03,0.0,816,,2073.9,
65,66,0.01,1.72,0.02,0.01,18.1,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.06,816,1136.9,1192.0,8.0
66,67,0.01,2.5,0.02,0.01,18.0,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.04,816,1460.7,1502.0,13.0
67,68,0.01,2.5,0.02,0.01,18.0,0.02,0.01,0.0,0.01,0.01,0.0,0.05,0.04,816,1481.4,1543.4,11.0
68,69,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0.0,0.01,11.8,0.0,0.17,1.54,0,2452.8,2501.1,11.0
70,71,0.01,0.05,0.05,0.01,17.5,3.9,0.01,0.0,0.01,11.8,0.0,0.17,1.54,816,2321.9,2383.9,11.0
71,72,0.01,0.05,0.05,0.01,18.0,3.6,0.01,0.0,0.01,13.0,0.0,0.08,1.88,0,2473.5,2528.6,7.0
72,73,0.01,0.05,0.05,0.01,18.0,3.6,0.01,0.0,0.01,13.0,0.0,0.08,1.88,760,2404.6,2466.6,8.0
73,74,0.01,0.05,0.05,0.01,18.0,3.6,0.01,0.0,0.01,13.0,0.0,0.08,1.88,816,2356.4,2432.2,8.0
74,75,0.0,0.05,0.05,0.01,18.1,3.5,0.01,0.0,0.01,13.0,0.0,0.1,1.62,0,2363.3,2425.3,11.0
75,76,0.0,0.05,0.05,0.01,18.1,3.5,0.01,0.0,0.01,13.0,0.0,0.1,1.62,760,2335.7,2397.7,8.0
76,77,0.0,0.05,0.05,0.01,18.1,3.5,0.01,0.0,0.01,13.0,0.0,0.1,1.62,816,,2370.2,9.0
77,78,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0.0,0.01,11.5,0.0,0.62,1.48,0,2576.9,2625.1,7.0
78,79,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0.0,0.01,11.5,0.0,0.62,1.48,760,2528.6,2590.6,6.0
79,80,0.01,0.05,0.05,0.01,17.5,4.15,0.01,0.0,0.01,11.5,0.0,0.62,1.48,816,2425.3,2494.2,10.0
81,82,0.02,0.05,0.05,0.01,17.0,4.07,0.69,0.0,0.01,12.3,0.0,0.16,1.58,0,2446.0,2501.1,10.0
82,83,0.02,0.05,0.05,0.01,17.0,4.07,0.69,0.0,0.01,12.3,0.0,0.16,1.58,760,,2377.1,9.0
84,85,0.0,0.05,0.05,0.01,18.0,3.6,0.5,0.0,0.01,12.0,0.0,0.02,1.9,0,2446.0,2508.0,8.0
85,86,0.0,0.05,0.05,0.01,18.0,3.6,0.5,0.0,0.01,12.0,0.0,0.02,1.9,760,2397.7,2459.7,10.0
86,87,0.0,0.05,0.05,0.01,18.0,3.6,0.5,0.0,0.01,12.0,0.0,0.02,1.9,816,,2439.1,7.0
87,88,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0.0,0.01,12.2,0.0,0.23,1.78,0,2404.6,2452.8,8.0
88,89,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0.0,0.01,12.2,0.0,0.23,1.78,760,2397.7,2452.8,
89,90,0.01,0.05,0.05,0.01,17.2,3.95,0.01,0.0,0.01,12.2,0.0,0.23,1.78,816,2315.0,2418.4,8.0
92,93,0.0,0.05,0.05,0.01,18.1,3.6,0.01,0.0,0.01,13.0,0.0,0.11,2.25,0,2521.7,2590.6,6.0
93,94,0.0,0.05,0.05,0.01,18.1,3.6,0.01,0.0,0.01,13.0,0.0,0.11,2.25,760,2514.9,2583.8,2.0
95,96,0.01,0.05,0.05,0.01,19.4,1.45,0.01,0.0,0.01,14.9,0.0,0.13,1.55,816,2249.6,2315.0,8.5
96,97,0.01,0.05,0.05,0.01,14.7,1.5,0.01,0.0,0.01,15.3,0.0,0.76,1.16,816,2157.3,2239.3,8.5
97,98,0.03,0.05,0.17,0.01,16.4,0.02,4.0,0.0,0.01,6.9,0.0,0.1,0.14,816,1536.5,1536.5,
98,99,0.18,0.11,0.09,0.01,17.8,0.02,4.32,0.0,0.01,8.06,0.0,0.11,0.08,816,1605.4,1639.8,13.0
100,101,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1296.7,1357.3,14.4
101,102,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1295.3,1357.3,14.0
102,103,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1274.7,1336.7,15.0
103,104,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1113.4,,17.5
104,105,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,,1190.6,17.5
105,106,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1384.9,1489.6,13.8
106,107,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1367.0,1493.8,14.4
107,108,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1416.6,1554.4,13.8
109,110,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1399.4,1546.1,10.0
110,111,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1400.0,1548.9,13.1
111,112,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1389.7,1542.7,13.1
112,113,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1389.0,1546.1,13.1
113,114,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1304.3,1466.2,16.2
114,115,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1311.9,,
115,116,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1320.8,1493.1,14.0
116,117,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1295.3,1471.7,14.4
117,118,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,996,1285.0,1484.1,15.6
118,119,0.02,0.01,1.93,13.9,6.0,0.02,0.01,0.0,0.01,6.0,0.0,0.03,0.05,1038,,1212.6,14.0
119,120,0.02,0.01,1.82,13.9,5.1,0.02,0.01,0.0,0.01,8.9,0.0,0.02,0.04,1038,1226.4,1329.8,17.0
120,121,0.02,0.01,1.86,15.9,4.0,0.02,0.01,0.0,0.01,9.2,0.0,0.02,0.05,1038,1143.7,1350.4,17.0
121,122,0.01,0.01,1.93,15.6,4.1,0.02,0.01,0.0,0.01,10.5,0.0,0.03,0.06,1038,1185.1,1453.8,18.0
122,123,0.01,0.01,1.72,15.7,4.1,0.02,0.01,0.0,0.01,7.4,0.0,0.02,0.04,1038,1205.8,1281.5,16.0
123,124,0.02,0.01,1.92,15.5,3.9,0.02,0.01,0.0,0.01,6.0,0.0,0.04,0.07,1038,,1178.2,
124,125,0.01,0.01,1.99,17.5,2.1,0.02,0.01,0.0,0.01,11.8,0.0,0.03,0.05,1038,1088.6,1419.3,10.0
125,126,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,899,1666.0,1838.3,12.0
126,127,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0.0,0.01,13.8,0.0,0.01,0.01,899,1658.4,1762.5,16.0
127,128,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0.0,0.01,13.8,0.0,0.01,0.01,816,1672.9,1852.0,13.3
128,129,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0.0,0.01,13.74,0.0,0.01,0.0,816,1625.4,1805.2,15.5
130,131,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,899,1553.7,1667.4,15.5
132,133,0.12,0.18,0.06,2.01,10.07,1.0,0.01,0.0,0.01,12.1,0.0,0.01,0.0,816,1451.7,1503.4,16.5
133,134,0.12,0.18,0.06,2.01,10.07,1.0,0.01,0.0,0.01,12.1,0.0,0.01,0.0,816,1415.2,1502.7,16.5
134,135,0.12,0.18,0.06,2.01,10.07,1.0,0.01,0.0,0.01,12.1,0.0,0.01,0.0,816,1512.4,1649.5,13.0
136,137,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,816,1555.8,1646.7,16.0
137,138,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,816,1529.6,1639.8,16.0
138,139,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,899,1553.7,1670.8,15.8
139,140,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,816,1575.7,1714.9,16.5
141,142,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,816,1635.0,1803.1,15.0
142,143,0.16,0.16,0.05,1.97,10.05,1.0,0.01,0.0,0.01,13.88,0.0,0.01,0.0,816,1626.7,1799.0,
143,144,0.15,0.16,0.06,2.01,10.08,1.22,0.01,0.0,0.01,12.15,0.0,0.01,0.0,816,1513.7,1651.5,16.0
144,145,0.15,0.16,0.06,2.01,10.08,1.22,0.01,0.0,0.01,12.15,0.0,0.01,0.0,816,1493.1,1632.9,16.0
146,147,0.15,0.16,0.05,2.97,10.06,1.0,0.01,0.0,0.01,12.05,0.0,0.01,0.0,816,1399.4,1479.3,18.0
147,148,0.15,0.16,0.05,2.97,10.06,1.0,0.01,0.0,0.01,12.05,0.0,0.01,0.0,816,1559.9,1742.5,15.5
148,149,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0.0,0.01,13.74,0.0,0.01,0.0,816,,1512.4,16.0
149,150,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0.0,0.01,13.74,0.0,0.01,0.0,816,1515.8,1606.7,15.0
151,152,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0.0,0.01,13.74,0.0,0.01,0.0,816,1657.7,1826.5,11.0
154,155,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0.0,0.01,13.8,0.0,0.01,0.01,816,1688.1,1863.1,13.8
155,156,0.24,0.01,0.01,9.1,2.8,1.3,0.37,0.0,0.01,12.4,0.0,0.03,0.03,1025,1612.3,1936.1,15.0
156,157,0.24,0.01,0.01,9.0,2.8,1.3,0.29,0.0,0.01,12.4,0.0,0.03,0.02,1025,1570.9,,16.0
157,158,0.24,0.01,0.01,9.0,2.8,1.3,0.29,0.0,0.01,12.4,0.0,0.03,0.02,1025,,1922.3,16.0
158,159,0.24,0.01,0.01,9.1,2.8,1.3,0.37,0.0,0.01,12.4,0.0,0.03,0.03,1025,1619.2,1984.3,16.0
162,163,0.35,0.01,0.01,9.0,1.5,2.0,0.3,0.0,0.01,18.0,0.0,0.03,0.02,1050,1722.5,1798.3,
163,164,0.35,0.01,0.01,9.0,1.5,2.0,0.3,0.0,0.01,18.0,0.0,0.03,0.02,1050,1736.3,,
164,165,0.35,0.01,0.01,9.0,1.5,2.0,0.3,0.0,0.01,18.0,0.0,0.03,0.02,1050,1736.3,2508.0,
165,166,0.15,0.01,0.01,9.0,4.8,1.5,0.5,0.0,0.01,13.0,0.0,0.03,0.02,1025,1412.5,1688.1,10.0
167,168,0.18,0.01,0.01,9.1,2.8,1.3,0.29,0.0,0.01,12.5,0.0,0.03,0.03,1025,1488.2,1798.3,17.0
168,169,0.11,0.01,0.01,9.2,3.7,2.0,0.5,0.0,0.01,16.7,0.0,0.03,0.03,1100,1453.8,1701.8,17.0
169,170,0.23,0.01,0.01,9.0,2.8,1.3,0.3,0.0,0.01,12.5,0.0,0.03,0.03,1025,1467.6,2018.8,17.0
171,172,0.2,0.01,0.01,8.2,2.1,1.3,0.29,0.0,0.01,12.4,0.0,0.03,0.02,1025,,1777.6,11.0
172,173,0.19,0.01,0.01,6.8,2.8,2.4,0.28,0.0,0.01,14.2,1.3,0.03,0.02,1025,,,13.0
173,174,0.21,0.01,0.6,8.2,2.6,1.3,0.29,0.0,0.01,14.2,0.0,0.03,0.02,1025,1391.8,1839.6,11.0
174,175,0.24,0.01,0.01,8.9,5.1,1.7,0.29,0.0,0.01,13.0,0.0,0.03,0.03,1025,1405.6,1825.9,16.0
176,177,0.25,0.01,0.01,9.0,6.2,1.3,0.29,0.0,0.01,12.2,0.0,0.03,0.03,1025,1405.6,1798.3,16.0
178,179,0.22,0.01,0.01,8.5,4.6,1.5,0.28,0.0,0.01,15.3,0.5,0.03,0.03,1025,1550.3,2067.0,14.0
179,180,0.22,0.01,0.01,8.5,4.6,1.5,0.28,0.0,0.01,15.3,0.5,0.03,0.03,1025,,1901.6,16.0
180,181,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0.0,0.01,13.0,0.0,0.03,0.03,1025,1543.4,1791.4,16.0
181,182,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0.0,0.01,13.0,0.0,0.03,0.03,1025,1605.4,2005.0,13.0
182,183,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0.0,0.01,13.0,0.0,0.03,0.03,1025,1502.0,2025.7,14.0
183,184,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0.0,0.01,13.0,0.0,0.03,0.02,1025,1157.5,1694.9,15.0
184,185,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0.0,0.01,13.0,0.0,0.03,0.02,1025,1157.5,1825.9,14.0
185,186,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0.0,0.01,13.0,0.0,0.03,0.02,1025,1612.3,1750.1,14.0
186,187,0.01,0.01,0.01,0.01,18.1,1.0,0.01,0.0,0.01,0.01,0.0,0.08,1.8,816,1736.3,1839.6,9.0
187,188,0.01,0.01,0.01,0.01,17.1,2.0,0.01,0.0,0.01,0.01,0.0,0.07,1.82,816,1874.1,1970.5,10.0
188,189,0.01,0.01,0.01,0.01,17.5,2.1,2.0,0.0,0.01,0.01,0.0,0.12,2.0,816,1998.1,2087.7,10.0
189,190,0.03,0.01,0.01,0.01,18.1,2.2,0.01,0.0,0.01,0.01,0.0,0.11,2.5,816,,2129.0,5.0
190,191,0.01,0.01,0.01,0.01,21.0,2.1,0.01,0.0,0.01,0.01,0.0,0.13,1.9,816,1660.5,1887.9,6.0
193,194,0.0,0.01,0.01,0.01,18.1,3.1,0.01,0.0,0.01,0.01,0.0,0.05,1.4,816,1715.6,1894.8,13.0
194,195,0.02,0.01,0.01,0.01,17.9,3.1,0.9,0.0,0.01,0.01,0.0,0.07,1.4,816,1729.4,1819.0,10.0
195,196,0.01,0.01,0.01,0.01,17.8,3.1,1.0,0.0,0.01,0.01,0.33,0.05,1.1,816,1688.1,1750.1,12.0
196,197,0.02,0.01,0.01,0.01,17.5,0.02,1.9,0.0,0.01,0.01,0.0,0.09,2.06,816,,1943.0,
198,199,0.02,0.01,0.01,0.01,15.3,1.4,0.01,0.0,0.01,0.01,0.0,0.12,2.1,816,1791.4,1915.4,4.0
199,200,0.02,0.01,0.01,0.01,17.9,0.3,0.01,0.0,0.01,0.01,0.0,0.1,1.95,816,1674.3,1777.6,9.0
200,201,0.02,0.01,0.01,0.01,15.7,2.0,0.01,0.0,0.01,0.01,0.0,0.1,1.98,816,1722.5,1846.5,10.0
201,202,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0.0,0.01,0.01,0.0,0.09,1.26,816,1692.9,1764.5,13.0
202,203,0.01,0.03,0.01,0.01,18.11,3.07,0.01,0.0,0.01,0.01,0.0,0.09,1.41,816,1593.7,1655.7,11.0
203,204,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0.0,0.01,0.01,0.0,0.09,1.26,816,1524.8,1581.3,13.0
204,205,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0.0,0.01,0.01,0.0,0.09,1.26,816,1600.5,1675.6,12.0
205,206,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0.0,0.01,0.01,0.0,0.09,1.26,816,,1659.1,12.0
207,208,0.01,0.03,0.01,0.01,18.11,3.07,0.01,0.0,0.01,0.01,0.0,0.09,1.41,816,1645.3,1719.7,11.0
208,209,0.22,0.01,0.01,3.03,11.17,1.18,0.01,0.0,0.01,13.89,0.0,0.03,0.01,843,1810.0,1970.0,12.2
