,Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
210,211,0.03,0.01,0.01,11.2,9.61,0.02,0.01,0.0,0.01,0.01,4.0,0.39,0.26,830,1313.0,1378.0,13.4
212,213,0.03,0.01,0.01,10.7,10.3,0.02,0.01,0.0,0.01,0.01,0.0,0.21,0.31,830,1052.0,1136.0,14.6
213,214,0.03,0.01,0.01,10.7,10.3,0.02,0.01,0.0,0.01,0.01,0.0,0.21,0.31,830,1198.0,1299.0,16.3
215,216,0.03,0.01,0.01,11.2,9.61,0.02,0.01,0.0,0.01,0.01,4.0,0.39,0.26,830,1085.0,1155.0,
216,217,0.03,0.01,0.01,10.7,9.46,2.45,0.01,0.0,0.01,0.01,0.0,0.46,0.28,830,1055.0,1139.0,7.4
218,219,0.03,0.01,0.01,0.01,18.1,2.2,0.01,0.0,0.01,0.01,0.0,0.1,2.5,830,2006.0,2130.0,5.0
219,220,0.2,0.01,0.01,12.43,1.21,2.01,0.01,0.0,0.08,13.82,0.0,0.03,0.0,1038,1405.8,1854.1,20.1
220,221,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0.0,0.01,13.33,0.0,0.03,0.0,1038,1430.3,1838.4,19.7
221,222,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0.0,0.01,13.33,0.0,0.03,0.0,1038,1427.4,1921.8,15.4
222,223,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0.0,0.09,13.74,0.0,0.03,0.0,1038,1386.2,1878.6,16.7
224,225,0.25,0.01,0.01,14.09,0.93,2.0,0.01,0.0,0.08,13.88,0.0,0.03,0.0,1038,1469.5,1878.6,5.3
227,228,0.16,0.01,0.03,13.99,1.09,4.95,0.01,0.0,0.27,13.94,0.0,0.03,0.0,927,1266.5,1650.0,23.0
228,229,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.4,0.0,0.03,0.0,1010,1309.6,1722.6,15.7
229,230,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.95,0.0,0.03,0.0,1085,1451.9,1890.4,19.1
230,231,0.19,0.01,0.5,12.53,0.95,1.48,0.01,0.0,0.01,15.02,0.0,0.03,0.0,1038,1374.4,1832.5,16.1
231,232,0.21,0.01,0.01,14.08,0.93,2.0,0.01,0.0,0.08,13.83,0.0,0.03,0.0,1038,1405.8,1869.8,14.8
232,233,0.2,0.01,0.03,14.09,0.01,1.98,0.01,0.0,0.08,16.62,0.0,0.03,0.0,1038,1361.6,1900.2,8.9
234,235,0.16,0.01,0.03,13.99,1.09,4.95,0.01,0.0,0.27,13.94,0.0,0.03,0.0,927,1072.2,1556.8,20.7
235,236,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0.0,0.01,13.33,0.0,0.03,0.0,1038,1278.2,1656.9,18.2
236,237,0.19,0.02,0.49,12.56,0.94,1.96,0.01,0.0,0.01,20.1,0.0,0.03,0.0,1038,1328.3,1779.5,19.7
238,239,0.23,0.01,0.52,12.47,0.95,1.97,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1038,1359.7,1809.9,7.3
239,240,0.22,0.01,1.01,12.61,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1038,1364.6,1746.2,17.8
240,241,0.2,0.01,0.01,14.13,0.92,1.99,0.01,0.0,0.08,17.0,0.0,0.03,0.0,1038,1266.5,1854.1,20.7
241,242,0.22,0.01,1.01,12.61,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1038,1402.8,1801.1,14.6
242,243,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.0,0.08,13.88,0.0,0.03,0.0,1038,1332.2,1782.5,18.1
243,244,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0.0,0.08,13.88,0.0,0.03,0.0,1038,1376.3,1757.0,20.1
244,245,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0.0,0.09,13.74,0.0,0.03,0.0,1038,1401.8,1792.3,19.5
245,246,0.2,0.01,0.3,12.46,0.95,1.97,0.01,0.0,0.08,13.75,0.0,0.03,0.0,1038,1287.1,1762.9,
250,251,0.19,0.01,0.73,12.47,0.95,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1038,,,17.5
251,252,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0.0,0.08,15.16,0.0,0.03,0.0,1038,1347.9,1785.4,16.3
253,254,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.95,0.0,0.03,0.0,1085,1348.9,1819.8,19.5
254,255,0.21,0.01,0.73,12.51,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1038,1328.3,1735.4,16.0
255,256,0.2,0.01,0.03,14.09,0.01,1.98,0.01,0.0,0.08,16.62,0.0,0.03,0.0,1038,1354.8,1782.5,18.7
256,257,0.21,0.01,0.56,12.54,0.99,1.97,0.34,0.0,0.08,13.76,0.0,0.03,0.0,1038,1301.8,1779.5,16.1
257,258,0.2,0.01,1.5,12.63,0.94,1.98,0.01,0.0,0.08,13.83,0.0,0.03,0.0,1038,1382.2,1735.4,18.7
263,264,0.21,0.01,0.73,12.51,0.94,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1038,1410.7,1783.5,15.8
264,265,0.23,0.01,0.36,12.6,0.95,1.97,0.01,0.0,0.08,12.77,0.0,0.03,0.0,1038,1302.8,1721.7,18.1
265,266,0.19,0.01,0.5,12.64,0.98,1.95,0.01,0.0,0.02,13.67,0.0,0.03,0.0,1038,1376.3,1732.4,17.7
267,268,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.4,0.0,0.03,0.0,1040,1285.1,1732.4,18.9
268,269,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0.0,0.08,17.06,0.0,0.03,0.0,1038,1272.4,1746.2,17.3
269,270,0.21,0.01,0.37,12.59,0.96,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0,1038,1375.4,1784.4,16.7
270,271,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0.0,0.09,13.74,0.0,0.03,0.0,1038,1342.0,,
271,272,0.2,0.02,0.49,12.55,0.94,1.97,0.01,0.0,0.02,15.08,0.0,0.03,0.0,1038,1258.6,1738.3,16.9
272,273,0.21,0.01,0.5,12.55,0.94,1.98,0.01,0.0,0.08,13.75,0.0,0.03,0.0,1038,1421.5,1792.3,16.1
273,274,0.19,0.02,0.49,12.54,0.96,1.49,0.46,0.0,0.01,15.1,0.0,0.03,0.0,1038,1241.0,1719.7,18.5
274,275,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.95,0.0,0.03,0.0,1085,1322.4,1809.0,18.6
275,276,0.19,0.46,0.49,12.67,0.95,1.49,0.01,0.0,0.01,15.1,0.0,0.03,0.0,1038,1250.8,1737.4,18.1
276,277,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0.0,0.08,17.06,0.0,0.03,0.0,1038,1335.1,1771.7,17.5
277,278,0.19,0.01,0.49,12.53,0.96,1.48,0.33,0.0,0.01,14.95,0.0,0.03,0.0,1038,1218.4,1738.3,19.3
278,279,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.4,0.0,0.03,0.0,1070,,,17.5
279,280,0.17,0.01,0.78,12.54,0.95,1.99,0.01,0.0,0.08,13.99,0.0,0.03,0.0,1038,,1727.5,17.3
280,281,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0.0,0.08,15.16,0.0,0.03,0.0,1038,1280.2,1763.8,18.5
281,282,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0.0,0.08,15.16,0.0,0.03,0.0,1038,1314.5,1777.6,11.2
283,284,0.2,0.01,0.01,14.13,0.92,1.99,0.01,0.0,0.08,17.0,0.0,0.03,0.0,1038,1220.4,1730.5,20.9
284,285,0.2,0.01,0.01,12.43,1.21,2.01,0.01,0.0,0.08,13.82,0.0,0.03,0.0,1038,1399.9,1765.8,16.7
285,286,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0.0,0.01,15.4,0.0,0.03,0.0,1070,1346.9,1776.6,19.5
286,287,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.95,0.0,0.03,0.0,1085,1272.4,1783.5,19.7
287,288,0.19,0.01,0.01,12.61,0.99,1.98,0.01,0.0,0.07,13.79,0.0,0.03,0.0,1038,1371.4,1730.5,15.6
288,289,0.2,0.01,0.3,12.46,0.95,1.97,0.01,0.0,0.08,13.75,0.0,0.03,0.0,1038,1312.6,1777.6,10.2
291,292,0.19,0.01,0.73,12.47,0.95,1.98,0.01,0.0,0.08,13.78,0.0,0.03,0.0,1038,,,17.7
293,294,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0.0,0.01,15.95,0.0,0.03,0.0,1100,1265.5,1756.0,20.1
294,295,0.2,0.01,0.01,10.53,2.49,1.98,0.01,0.0,0.1,13.67,0.0,0.03,0.0,1038,1282.2,1668.7,17.8
295,296,0.2,0.51,0.52,12.66,1.02,1.99,0.01,0.0,0.01,15.56,0.0,0.03,0.0,1100,1192.9,1726.6,18.3
296,297,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1433.8,1509.6,17.6
297,298,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1430.4,1515.8,16.9
298,299,0.03,0.01,0.01,12.64,8.44,2.24,0.01,0.0,0.01,0.01,0.0,1.31,0.01,927,1523.4,1576.4,13.7
299,300,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1434.5,1517.2,16.0
300,301,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,927,1406.2,1471.7,17.0
301,302,0.03,0.01,0.01,12.64,8.44,2.24,0.01,0.0,0.01,0.01,0.0,1.31,0.01,927,1519.2,1568.2,13.3
302,303,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1374.6,1449.0,
303,304,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1466.9,1556.5,16.2
304,305,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,1402.8,1477.9,17.0
305,306,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,927,1400.7,1466.2,16.5
307,308,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1463.4,1547.5,16.9
308,309,0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0.0,1.05,0.01,927,,1498.6,14.0
309,310,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1464.1,1531.0,16.8
310,311,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0.0,0.01,0.01,0.0,1.02,0.09,927,1451.0,1501.3,14.5
312,313,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0.0,0.01,0.01,0.0,1.04,0.01,927,1420.0,1460.7,14.1
313,314,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1453.1,,16.4
314,315,0.03,0.01,0.01,12.56,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.02,0.01,927,1392.5,1423.5,14.6
315,316,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1393.8,1468.3,15.1
316,317,0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0.0,1.05,0.01,927,1411.8,1448.3,
317,318,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0.0,0.01,0.01,0.0,1.04,0.01,927,1435.9,1480.0,13.6
318,319,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0.0,0.01,0.01,0.0,1.02,0.09,927,1464.8,1514.4,15.1
319,320,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.05,927,1482.7,,
320,321,0.03,0.01,0.01,12.54,8.38,2.24,0.01,0.0,0.01,0.01,0.0,1.03,0.01,927,1429.7,1462.7,13.5
321,322,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.05,927,1457.2,1500.0,17.1
322,323,0.03,0.01,0.01,12.54,8.38,2.24,0.01,0.0,0.01,0.01,0.0,1.03,0.01,927,1415.9,1453.1,14.4
323,324,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0.0,0.01,0.01,0.0,1.07,0.01,927,,1429.7,13.3
324,325,0.04,0.01,0.01,12.38,8.25,2.2,0.01,0.0,0.01,0.01,0.0,0.81,0.03,927,1293.3,1349.1,17.8
325,326,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0.0,0.01,0.01,0.0,1.07,0.01,927,1431.7,1476.5,13.8
326,327,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1409.7,1470.3,16.8
328,329,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1389.7,1465.5,16.8
329,330,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1398.7,1462.1,16.9
330,331,0.04,0.01,0.04,12.44,8.26,2.19,0.01,0.0,0.01,0.01,0.0,0.77,0.02,927,1305.0,1355.3,16.7
332,333,0.04,0.01,0.01,12.58,8.39,2.2,0.01,0.0,0.01,0.01,0.0,0.77,0.02,927,1274.0,1331.1,17.9
333,334,0.04,0.01,0.01,12.58,8.39,2.2,0.01,0.0,0.01,0.01,0.0,0.77,0.02,927,1286.4,1356.6,18.9
334,335,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1295.3,1357.3,14.0
335,336,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1295.3,1357.3,14.0
336,337,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1295.3,1357.3,14.0
337,338,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1295.3,1357.3,14.0
339,340,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1274.7,1336.7,15.0
340,341,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1274.7,1336.7,15.0
341,342,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0.0,0.01,0.01,0.0,1.0,0.0,927,1274.7,1336.7,15.0
342,343,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1267.8,1322.9,19.0
345,346,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1267.8,1322.9,19.0
346,347,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1407.6,1471.7,17.3
347,348,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1267.8,1329.8,18.0
348,349,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1267.8,1329.8,18.0
349,350,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1267.8,1329.8,18.0
350,351,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.02,927,1267.8,1329.8,18.0
352,353,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1316.0,1371.1,19.0
354,355,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1316.0,1371.1,19.0
355,356,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1343.6,1405.6,18.0
356,357,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1343.6,1405.6,
357,358,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1343.6,1405.6,18.0
358,359,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0.0,0.01,0.01,0.0,1.06,0.09,927,1343.6,1405.6,18.0
359,360,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1254.0,1295.3,19.0
361,362,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1254.0,1295.3,19.0
362,363,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1254.0,1295.3,
364,365,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1309.1,1357.3,18.0
365,366,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1309.1,1357.3,18.0
366,367,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0.0,0.01,0.01,0.0,1.07,0.05,927,1309.1,1357.3,18.0
367,368,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,19.0
368,369,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,19.0
369,370,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,19.0
370,371,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,19.0
371,372,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,19.0
372,373,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,19.0
373,374,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,
374,375,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0.0,0.01,0.01,0.0,1.03,0.02,927,1247.1,1295.3,19.0
375,376,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1309.1,,18.0
376,377,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,,1357.3,18.0
377,378,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1309.1,1357.3,
378,379,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1309.1,1357.3,18.0
379,380,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1329.8,1384.9,17.0
380,381,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1329.8,1384.9,17.0
381,382,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1329.8,1384.9,17.0
382,383,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0.0,0.01,0.01,0.0,1.04,0.1,927,1329.8,1384.9,17.0
383,384,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1233.3,1281.5,
384,385,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1233.3,1281.5,16.0
385,386,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1233.3,1281.5,16.0
387,388,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1247.1,1302.2,17.0
388,389,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1247.1,1302.2,17.0
389,390,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1247.1,1302.2,17.0
390,391,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.02,927,1247.1,1302.2,17.0
391,392,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1357.3,1398.7,17.0
392,393,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1357.3,,
394,395,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1357.3,1398.7,17.0
395,396,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1309.1,1364.2,17.0
396,397,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1309.1,1364.2,17.0
397,398,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1309.1,1364.2,17.0
398,399,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0.0,1.06,0.09,927,1309.1,1364.2,17.0
399,400,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,,1316.0,18.0
400,401,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,1267.8,1316.0,18.0
401,402,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,1267.8,1316.0,18.0
402,403,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,1267.8,1316.0,18.0
404,405,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,1254.0,1316.0,19.0
405,406,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,,1316.0,19.0
406,407,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0.0,1.05,0.05,927,1254.0,,
407,408,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,927,1274.7,1329.8,19.0
408,409,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,927,1274.7,1329.8,19.0
409,410,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,927,1274.7,1329.8,19.0
410,411,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,927,1274.7,1329.8,19.0
413,414,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0.0,0.01,0.01,0.0,1.04,0.03,927,1260.9,1316.0,18.0
415,416,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0.0,0.01,0.01,0.0,1.04,0.01,927,1254.0,1281.5,15.0
